No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적,일정 차이,일정 준수 여부
1,P1,DPBOM000000001,도장,F1,D1,자체 진행,D1,2023-01-14,2023-01-08,-6,False
2,P1,DPBOM000000002,도장,F1,D1,자체 진행,D1,2024-02-16,2024-01-19,-28,False
3,P1,DPBOM000000003,가공,F2,D2,D5,D3,2024-03-22,2024-03-05,-17,False
4,P1,DPBOM000000004,족장,F3,D3,자체 진행,D4,2023-02-16,2023-01-20,-27,False
5,P1,DPBOM000000005,공작,F2,D4,D5,D3,2023-07-23,2023-06-27,-26,False
6,P1,DPBOM000000006,철의장,F2,D5,D5,D3,2022-05-05,2022-04-21,-14,False
7,P1,DPBOM000000007,가공,F2,D2,D5,D3,2022-01-19,2021-12-30,-20,False
8,P1,DPBOM000000008,재마킹,F4,D6,자체 진행,D3,2022-12-05,2022-11-08,-27,False
9,P1,DPBOM000000009,가공,F4,D7,자체 진행,D3,2024-02-12,2024-01-29,-14,False
10,P1,DPBOM000000010,가공,F2,D2,D5,D3,2022-07-23,2022-06-28,-25,False
11,P1,DPBOM000000011,족장,F3,D3,자체 진행,D4,2022-06-12,2022-05-20,-23,False
12,P1,DPBOM000000012,의장,F1,D8,자체 진행,D1,2022-01-18,2022-01-02,-16,False
13,P1,DPBOM000000013,공작,F2,D4,D5,D3,2022-08-20,2022-07-28,-23,False
14,P1,DPBOM000000014,철의장,F2,D5,D5,D3,2021-11-16,2022-01-13,58,True
15,P1,DPBOM000000015,가공,F2,D2,D5,D3,2023-01-18,2022-12-22,-27,False
16,P1,DPBOM000000016,재마킹,F4,D6,자체 진행,D3,2023-04-18,2023-04-09,-9,False
17,P1,DPBOM000000017,가공,F4,D7,자체 진행,D3,2024-04-18,2024-04-01,-17,False
18,P1,DPBOM000000018,가공,F2,D2,D5,D3,2022-05-06,2022-04-11,-25,False
19,P1,DPBOM000000019,재마킹,F4,D6,자체 진행,D3,2023-02-07,2023-01-21,-17,False
20,P1,DPBOM000000020,가공,F4,D7,자체 진행,D3,2024-02-20,2024-02-09,-11,False
21,P1,DPBOM000000021,가공,F2,D2,D5,D3,2024-05-30,2024-05-08,-22,False
22,P1,DPBOM000000022,재마킹,F4,D6,자체 진행,D3,2022-02-01,2022-01-17,-15,False
23,P1,DPBOM000000023,가공,F4,D7,자체 진행,D3,2022-06-22,2022-06-20,-2,False
24,P1,DPBOM000000024,가공,F4,D7,자체 진행,D3,2022-06-01,2022-05-29,-3,False
25,P1,DPBOM000000025,가공,F2,D2,D5,D3,2024-06-15,2024-06-09,-6,False
26,P1,DPBOM000000026,족장,F3,D3,자체 진행,D4,2021-12-01,2021-11-06,-25,False
27,P1,DPBOM000000027,의장,F1,D8,자체 진행,D1,2023-10-29,2023-10-28,-1,False
28,P1,DPBOM000000028,공작,F2,D4,D5,D3,2022-11-14,2022-11-08,-6,False
29,P1,DPBOM000000029,철의장,F2,D5,D5,D3,2023-07-30,2023-07-03,-27,False
30,P1,DPBOM000000030,가공,F2,D2,D5,D3,2023-10-07,2023-10-04,-3,False
31,P1,DPBOM000000031,재마킹,F4,D6,자체 진행,D3,2023-01-27,2023-01-03,-24,False
32,P1,DPBOM000000032,가공,F4,D7,자체 진행,D3,2023-08-25,2023-08-03,-22,False
33,P1,DPBOM000000033,가공,F2,D2,D5,D3,2021-11-26,2021-11-22,-4,False
34,P1,DPBOM000000034,재마킹,F4,D6,자체 진행,D3,2023-01-29,2023-01-22,-7,False
