No,D/P&BOM 코드,D/P&BOM 내역,설계기능,협력사,직영책임부서,최종 출도가능일자,출도실적,일정 차이,일정 준수 여부
1,DPBOM000000001,철의장,F1,자체 진행,D3,2023-06-19,2023-05-21,-29,False
2,DPBOM000000002,철의장,F1,자체 진행,D3,2022-08-15,2022-07-21,-25,False
3,DPBOM000000003,의장(설치),F1,자체 진행,D3,2022-05-14,2022-04-26,-18,False
4,DPBOM000000004,의장(설치),F1,자체 진행,D3,2022-04-15,2022-04-03,-12,False
5,DPBOM000000005,제작,F2,자체 진행,D4,2023-05-27,2023-05-02,-25,False
6,DPBOM000000006,Supp 제작,F2,자체 진행,D4,2022-09-16,2022-08-22,-25,False
7,DPBOM000000007,제작,F2,자체 진행,D4,2023-04-10,2023-03-17,-24,False
8,DPBOM000000008,Supp 제작,F2,자체 진행,D4,2022-12-11,2022-11-14,-27,False
9,DPBOM000000009,제작,F2,자체 진행,D4,2023-04-08,2023-03-10,-29,False
10,DPBOM000000010,Supp 제작,F2,자체 진행,D4,2024-03-28,2024-03-11,-17,False
11,DPBOM000000011,제작,F2,자체 진행,D4,2023-07-04,2023-06-19,-15,False
12,DPBOM000000012,Supp 제작,F2,자체 진행,D4,2023-09-29,2023-09-24,-5,False
13,DPBOM000000013,제작,F2,자체 진행,D4,2022-07-15,2022-06-25,-20,False
14,DPBOM000000014,Supp 제작,F2,자체 진행,D4,2022-05-04,2022-04-16,-18,False
15,DPBOM000000015,제작,F2,자체 진행,D4,2024-01-13,2023-12-24,-20,False
16,DPBOM000000016,Supp 제작,F2,자체 진행,D4,2023-08-07,2023-08-06,-1,False
17,DPBOM000000017,철의장,F1,자체 진행,D3,2022-03-02,2022-02-03,-27,False
18,DPBOM000000018,제작,F2,자체 진행,D4,2023-02-03,2023-01-27,-7,False
19,DPBOM000000019,Supp 제작,F2,자체 진행,D4,2024-06-27,2024-06-15,-12,False
20,DPBOM000000020,제작,F2,자체 진행,D4,2022-03-02,2022-02-16,-14,False
21,DPBOM000000021,Supp 제작,F2,자체 진행,D4,2022-08-22,2022-07-29,-24,False
22,DPBOM000000022,제작,F2,자체 진행,D4,2022-04-20,2022-03-31,-20,False
23,DPBOM000000023,Supp 제작,F2,자체 진행,D4,2022-03-28,2022-03-02,-26,False
24,DPBOM000000024,제작,F2,자체 진행,D4,2024-08-12,2024-07-22,-21,False
25,DPBOM000000025,Supp 제작,F2,자체 진행,D4,2021-11-03,2021-10-07,-27,False
26,DPBOM000000026,의장(설치),F2,자체 진행,D4,2024-02-10,2024-01-22,-19,False
27,DPBOM000000027,의장(설치),F2,자체 진행,D4,2023-03-14,2023-02-18,-24,False
28,DPBOM000000028,의장(설치),F2,자체 진행,D4,2023-10-06,2023-09-16,-20,False
29,DPBOM000000029,의장(설치),F2,자체 진행,D4,2022-08-04,2022-07-26,-9,False
30,DPBOM000000030,철의장,F1,자체 진행,D3,2022-12-15,2022-11-27,-18,False
31,DPBOM000000031,의장(설치),F2,자체 진행,D4,2022-01-19,2022-01-17,-2,False
32,DPBOM000000032,의장(설치),F2,자체 진행,D4,2023-01-11,2022-12-26,-16,False
33,DPBOM000000033,철의장,F1,자체 진행,D3,2022-11-21,2022-11-14,-7,False
