날짜,공정명,세부공정명,Vessel ID,계획 진도율(%),실제 진도율(%),작업인원(명),가동시간(시간),비가동시간(시간),특이사항
2024-08-01,설계,기본 설계,FLNG-240900,35.0,23.0,47,18,0,없음
2024-08-03,설계,기본 설계,FLNG-240900,35.0,73.0,37,2,0,없음
2024-08-04,설계,기본 설계,FLNG-240900,73.0,100.0,44,19,4,설계 변경으로 인한 일부 작업 지연
2024-08-10,설계,상세 설계,FLNG-240900,95.0,84.0,16,14,1,없음
2024-08-11,설계,상세 설계,FLNG-240900,95.0,100.0,17,9,1,없음
2024-08-18,자재 준비 및 가공,가공,FLNG-240900,35.0,35.0,38,14,3,없음
2024-08-19,자재 준비 및 가공,가공,FLNG-240900,35.0,100.0,44,1,4,없음
2024-08-16,자재 준비 및 가공,강판 절단,FLNG-240900,60.0,60.0,13,15,2,없음
2024-08-17,자재 준비 및 가공,강판 절단,FLNG-240900,60.0,100.0,20,20,0,없음
2024-08-23,조립,소조립,FLNG-240900,10.0,10.0,38,15,0,없음
2024-08-27,조립,소조립,FLNG-240900,10.0,10.0,43,18,3,없음
2024-08-01,설계,기본 설계,FLNG-240901,90.0,83.0,12,9,3,없음
2024-08-02,설계,기본 설계,FLNG-240901,90.0,100.0,26,20,4,없음
2024-08-04,설계,상세 설계,FLNG-240901,65.0,60.0,35,18,2,없음
2024-08-08,설계,상세 설계,FLNG-240901,65.0,80.0,11,22,3,없음
2024-08-09,설계,상세 설계,FLNG-240901,80.0,100.0,19,20,0,없음
2024-08-21,자재 준비 및 가공,가공,FLNG-240901,30.0,30.0,31,17,2,없음
2024-08-23,자재 준비 및 가공,가공,FLNG-240901,30.0,80.0,35,11,0,없음
2024-08-24,자재 준비 및 가공,가공,FLNG-240901,80.0,85.0,27,4,4,없음
2024-08-26,자재 준비 및 가공,가공,FLNG-240901,85.0,100.0,48,15,2,없음
2024-08-10,자재 준비 및 가공,강판 절단,FLNG-240901,30.0,30.0,39,3,1,없음
2024-08-14,자재 준비 및 가공,강판 절단,FLNG-240901,30.0,65.0,22,5,4,없음
2024-08-15,자재 준비 및 가공,강판 절단,FLNG-240901,65.0,80.0,30,7,2,없음
2024-08-17,자재 준비 및 가공,강판 절단,FLNG-240901,80.0,100.0,7,20,0,자재 품질 문제로 일부 교체 작업
2024-08-01,설계,기본 설계,FLNG-240902,100.0,92.0,34,13,1,없음
2024-08-02,설계,기본 설계,FLNG-240902,100.0,100.0,39,17,4,없음
2024-08-03,설계,상세 설계,FLNG-240902,75.0,75.0,30,10,4,없음
2024-08-04,설계,상세 설계,FLNG-240902,75.0,100.0,36,1,4,없음
2024-08-09,자재 준비 및 가공,가공,FLNG-240902,10.0,10.0,9,10,3,없음
2024-08-11,자재 준비 및 가공,가공,FLNG-240902,10.0,30.0,31,23,0,없음
2024-08-16,자재 준비 및 가공,가공,FLNG-240902,30.0,100.0,14,17,0,없음
2024-08-06,자재 준비 및 가공,강판 절단,FLNG-240902,95.0,82.0,44,13,3,없음
2024-08-08,자재 준비 및 가공,강판 절단,FLNG-240902,95.0,100.0,20,14,2,없음
2024-08-27,조립,대조립,FLNG-240902,95.0,86.0,5,15,1,없음
2024-08-17,조립,소조립,FLNG-240902,15.0,15.0,21,12,1,없음
2024-08-18,조립,소조립,FLNG-240902,15.0,100.0,13,23,3,없음
2024-08-21,조립,중조립,FLNG-240902,100.0,89.0,10,3,4,없음
2024-08-26,조립,중조립,FLNG-240902,100.0,100.0,11,8,1,없음
2024-08-05,설계,기본 설계,FLNG-240903,95.0,95.0,41,3,1,없음
2024-08-10,설계,기본 설계,FLNG-240903,95.0,100.0,27,22,3,없음
2024-08-17,설계,상세 설계,FLNG-240903,60.0,49.0,26,21,1,없음
2024-08-18,설계,상세 설계,FLNG-240903,60.0,100.0,27,11,2,없음
2024-08-20,자재 준비 및 가공,강판 절단,FLNG-240903,60.0,60.0,27,15,0,없음
2024-08-27,자재 준비 및 가공,강판 절단,FLNG-240903,60.0,100.0,48,18,2,없음
2024-08-01,설계,기본 설계,FLNG-240904,0.0,0.0,29,8,4,없음
